Trade Date,first,second,days_left,w1,w2,ret
2009-03-02,47.850000000000001,46.049999999999997,12,60.0,40.0,0.06693780715133024
2009-03-03,48.450000000000003,46.350000000000001,11,55.0,45.0,0.010184595798854224
2009-03-04,44.75,42.899999999999999,10,50.0,50.0,-0.07551836648773813
2009-03-05,47.350000000000001,44.450000000000003,9,45.0,55.0,0.04734740444951502
2009-03-06,46.649999999999999,44.149999999999999,8,40.0,60.0,-0.010490656758824213
2009-03-09,47.049999999999997,44.899999999999999,7,35.0,65.0,0.013510520487264754
2009-03-10,43.149999999999999,41.600000000000001,6,30.0,70.0,-0.07688516510596355
2009-03-11,42.649999999999999,41.600000000000001,5,25.0,75.0,-0.0035659099013432005
2009-03-12,41.100000000000001,41.100000000000001,4,20.0,80.0,-0.018214392355927145
2009-03-13,42.100000000000001,41.600000000000001,3,15.0,85.0,0.014598540145985384
2009-03-16,43.0,43.100000000000001,2,10.0,90.0,0.03383323335332933
2009-03-17,40.049999999999997,41.299999999999997,1,5.0,95.0,-0.044441865862149044
2009-03-18,40.619999999999997,40.950000000000003,0,0.0,100.0,-0.007371930888147804
2009-03-19,43.700000000000003,41.549999999999997,18,94.736842105263165,5.2631578947368425,0.06715506715506714
2009-03-20,47.049999999999997,44.450000000000003,17,89.473684210526315,10.526315789473685,0.07631467729276076
2009-03-23,43.350000000000001,41.75,16,84.21052631578948,15.789473684210526,-0.07684950773558341
2009-03-24,44.0,42.25,15,78.94736842105263,21.05263157894737,0.014532576173902356
2009-03-25,42.75,41.450000000000003,14,73.684210526315795,26.315789473684209,-0.02647768395657435
2009-03-26,41.450000000000003,40.450000000000003,13,68.421052631578945,31.578947368421051,-0.028793049953459326
2009-03-27,42.950000000000003,41.600000000000001,12,63.157894736842103,36.842105263157897,0.0337790288529205
2009-03-30,46.350000000000001,44.049999999999997,11,57.89473684210526,42.10526315789474,0.0718447805603768
2009-03-31,45.049999999999997,43.950000000000003,10,52.631578947368418,47.368421052631582,-0.01751232241229328
2009-04-01,43.649999999999999,43.25,9,47.368421052631582,52.631578947368418,-0.023993853791147157
2009-04-02,42.950000000000003,42.5,8,42.10526315789474,57.89473684210526,-0.016720179317864958
2009-04-03,41.700000000000003,41.799999999999997,7,36.842105263157897,63.157894736842103,-0.021822216742695466
2009-04-06,41.950000000000003,42.149999999999999,6,31.578947368421051,68.421052631578945,0.007498424700693063
2009-04-07,41.649999999999999,42.450000000000003,5,26.315789473684209,73.684210526315795,0.0026261489401613325
2009-04-08,40.600000000000001,41.549999999999997,4,21.05263157894737,78.94736842105263,-0.022241604884431054
2009-04-09,38.299999999999997,39.899999999999999,3,15.789473684210526,84.21052631578948,-0.0432126264876217
2009-04-13,37.049999999999997,39.700000000000003,2,10.526315789473685,89.473684210526315,-0.009226071950086179
2009-04-14,37.850000000000001,39.600000000000001,1,5.2631578947368425,94.736842105263165,-0.0001335113484646211
2009-04-15,38.200000000000003,38.799999999999997,0,0.0,100.0,-0.018717111836408562
2009-04-16,37.350000000000001,37.5,24,96.0,4.0,-0.037371134020618424
2009-04-17,36.600000000000001,36.649999999999999,23,92.0,8.0,-0.020184173894421287
2009-04-20,39.5,38.950000000000003,22,88.0,12.0,0.07791498196918356
2009-04-21,37.899999999999999,37.649999999999999,21,84.0,16.0,-0.03966120606583157
2009-04-22,38.450000000000003,38.049999999999997,20,80.0,20.0,0.013893291072371916
2009-04-23,37.799999999999997,37.399999999999999,19,76.0,24.0,-0.016940317956737005
2009-04-24,37.799999999999997,37.649999999999999,18,72.0,28.0,0.0015913430935710071
2009-04-27,38.75,38.450000000000003,17,68.0,32.0,0.024047883892155397
2009-04-28,38.200000000000003,38.149999999999999,16,64.0,36.0,-0.012159155585450332
2009-04-29,36.450000000000003,36.700000000000003,15,60.0,40.0,-0.04300455712115647
2009-04-30,36.950000000000003,37.0,14,56.0,44.0,0.011491108071135514
2009-05-01,36.350000000000001,36.549999999999997,13,52.0,48.0,-0.014443362544628413
2009-05-04,34.799999999999997,34.75,12,48.0,52.0,-0.04582121494814251
2009-05-05,34.600000000000001,34.799999999999997,11,44.0,56.0,-0.0020129982170585814
2009-05-06,33.049999999999997,33.799999999999997,10,40.0,60.0,-0.03578013367135291
